name,method,init,final_x,final_y,f_final,grad_norm,iters
gd_lr_0.1_init_0,gd,"(0.0, 0.0)",-0.5850602072690043,-0.5850602072690043,-0.6926006069091221,9.497049083605976e-07,53
gd_lr_0.01_init_2_backtracking,gd,"(2.0, -1.0)",-0.5850601730314744,-0.585060956179026,-0.6926006069091796,4.871536073461046e-07,23
gd_lr_0.2_init_-2_backtracking,gd,"(-2.0, 2.0)",-0.5850607577410941,-0.5850597135443587,-0.6926006069089764,9.814261611870378e-07,23
newton_damped_init_0,newton,"(0.0, 0.0)",-0.5850604750082256,-0.5850604750082256,-0.6926006069093019,2.4520290936510385e-11,5
newton_far_init_3,newton,"(3.0, 3.0)",0.5847128503174787,0.5847128503174782,1.1484524602606103,1.1037780913252928,500
